px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
9.7201	-12.2142	-2.34142	1.37367	-0.510142	9.72311	-12.3964	9.6	-12.25	-0.999885	-1.99981	0
9.65904	-12.3431	-2.37726	1.32124	-0.53655	9.54859	-12.3478	9.55	-12.35	-0.999884	-1.99979	0
9.5766	-12.4202	-2.15293	1.22466	-0.635175	9.39039	-12.3902	9.45	-12.45	-1.99803	-1.99805	0
9.49397	-12.5396	-2.20665	1.1608	-0.66627	9.36086	-12.5501	9.35	-12.55	-1.99804	-1.99804	0
9.43544	-12.6486	-2.19442	1.11427	-0.679315	9.34456	-12.7106	9.3	-12.65	-0.909773	-1.81953	0
9.34078	-12.7684	-2.2434	1.04954	-0.705492	9.22134	-12.7613	9.25	-12.75	-0.909773	-1.81954	0
9.20653	-12.8244	-2.03352	0.888635	-0.882152	9.15326	-13.0031	9.05	-12.85	-3.99257	-1.99629	0
9.06342	-12.934	-2.16043	0.795248	-0.927998	8.84161	-12.9519	8.85	-12.95	-3.99253	-1.99627	0
8.93365	-13.0044	-2.15448	0.683354	-1.00999	8.71632	-12.9613	8.75	-13	-1.8213	-0.910651	0
8.79767	-13.0823	-2.21547	0.601966	-1.03351	8.66358	-13.0431	8.65	-13.05	-1.8213	-0.910651	0
8.65092	-13.1336	-2.27089	0.47879	-1.13165	8.54518	-13.1702	8.5	-13.1	-2.997	-0.999005	0
8.50238	-13.1905	-2.35107	0.398773	-1.15146	8.35763	-13.1557	8.35	-13.15	-2.997	-0.998995	0
8.30511	-13.2204	-2.50395	0.243532	-1.27881	8.22926	-13.1698	8.2	-13.15	-2.72741	0	0
8.142	-13.2385	-2.54061	0.154944	-1.29467	8.03583	-13.1513	8.05	-13.15	-2.72742	0	0
7.97936	-13.2428	-2.59724	0.0589482	-1.32661	7.82914	-13.0525	7.9	-13.15	-2.72986	0	0
7.82328	-13.2347	-2.61214	-0.0251699	-1.33641	7.76538	-13.1647	7.75	-13.15	-2.72986	0	0
7.76631	-13.2543	-2.33193	-0.0263568	-1.2375	7.66146	-13.3079	7.6	-13.2	-2.9979	-0.999304	0
7.59918	-13.2599	-2.43916	-0.0871139	-1.23055	7.44786	-13.2517	7.45	-13.25	-2.9979	-0.999304	0
7.45899	-13.2386	-2.44335	-0.158017	-1.23126	7.21108	-13.0985	7.3	-13.25	-2.72846	0	0
7.28257	-13.2278	-2.53808	-0.216029	-1.21755	7.16011	-13.2382	7.15	-13.25	-2.72844	0	0
7.11642	-13.1682	-2.72084	-0.309324	-1.26458	6.88472	-12.9588	7	-13.2	-2.99784	0.999284	0
6.95058	-13.1363	-2.79656	-0.359619	-1.24884	6.84891	-13.1493	6.85	-13.15	-2.99784	0.999284	0
6.81693	-13.0912	-2.74428	-0.416555	-1.2326	6.77424	-13.2337	6.7	-13.1	-2.72787	0.909275	0
6.64539	-13.0419	-2.81027	-0.466249	-1.21275	6.55759	-13.0679	6.55	-13.05	-2.72787	0.909284	0
6.55944	-13.0165	-2.4625	-0.495996	-1.1496	6.40137	-13.0799	6.4	-13.05	-2.72678	0	0
