px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
108.078	13.6607	1.70447	-0.021853	0.255658	108.131	13.6844	108.122	13.644	1.47592	-0.423202	0
109.532	13.5744	1.92765	0.0773158	0.162169	109.534	13.5714	109.606	13.2536	1.58144	-0.378583	0
109.486	13.5676	1.64553	0.0585457	0.146312	109.388	13.1556	109.606	13.2536	1.58144	-0.378583	0
111.058	12.6075	1.9353	-0.955267	-0.54902	111.063	12.5814	111.196	12.9118	1.69008	-0.322574	0
111.145	12.6509	2.43342	-0.687183	-0.19338	111.426	12.9557	111.196	12.9118	1.69008	-0.322574	0
112.902	12.4674	1.39945	-0.0810919	0.308197	112.913	12.4877	112.893	12.6299	1.7999	-0.254723	0
112.916	12.4446	1.76224	-0.0516557	0.342841	112.797	12.8241	112.893	12.6299	1.7999	-0.254723	0
114.791	12.5479	2.54246	0.311833	0.354137	114.801	12.5506	114.699	12.4195	1.90891	-0.175007	0
114.794	12.5545	2.13495	0.328334	0.400076	114.916	12.3187	114.699	12.4195	1.90891	-0.175007	0
116.68	12.1204	1.98954	-0.318998	-0.232065	116.687	12.1035	116.611	12.2921	2.01507	-0.0838683	0
116.724	12.134	2.30408	-0.237241	-0.136736	116.871	12.0659	116.611	12.2921	2.01507	-0.0838683	0
118.942	11.9937	2.86464	0.0659888	0.144492	118.953	12.0009	118.628	12.2586	2.11648	0.0177712	0
118.909	11.9993	2.40633	0.0990112	0.161537	118.85	12.4063	118.628	12.2586	2.11648	0.0177712	0
120.697	12.2921	2.28323	0.264842	0.164199	120.695	12.2918	120.743	12.3289	2.21139	0.128528	0
120.741	12.2963	2.339	0.264247	0.16397	120.934	12.1905	120.743	12.3289	2.21139	0.128528	0
123.547	12.8306	3.82735	0.0603313	-0.0681839	123.568	12.8297	122.95	12.5114	2.29835	0.246599	0
123.442	12.8111	2.78305	-0.0232103	-0.144454	123.142	12.7694	122.95	12.5114	2.29835	0.246599	0
124.904	12.7723	1.9466	-0.0926307	-0.0972469	124.894	12.7743	125.242	12.8125	2.37624	0.369827	0
